Year Published,PUMA,Borough,Neighborhoods,CD,Join,NYC_Poverty_Rate,Median_Income,Perc_White,Perc_Black,Perc_Asian,Perc_Other,Perc_Hispanic,Goal,GoalName,GoalFullName,TotalOutcome,GoalRank,IndexScore,ScoreRank,Ind1,Ind1Outcome,Ind1Rank,Ind1Definition,Ind2,Ind2Outcome,Ind2Rank,Ind2Definition,Ind3,Ind3Outcome,Ind3Rank,Ind3Definition,Ind4,Ind4Outcome,Ind4Rank,Ind4Definition,Ind5,Ind5Outcome,Ind5Rank,Ind5Definition,Ind6,Ind6Outcome,Ind6Rank,Ind6Definition,Ind7,Ind7Outcome,Ind7Rank,Ind7Definition,Ind8,Ind8Outcome,Ind8Rank,Ind8Definition
2020,3806,Manhattan,Upper West Side & West Side,MN Community District 7,3806,0.09,65844,0.677,0.06,0.092,0.026,0.144,Financial Services,Goal 1: Financial Services,"Goal 1: Access to Affordable, High-Quality Financial Services",5.665179163,8,4.942896105,Top,Bank / Credit Union-To-Nonbank Ratio,10.4:1,7,Ratio of banks & credit unions to check cashers & pawnshops,Bank / Credit Union Density,2.684355884,14,"Number of bank and credit union branches per 10,000 residents",IDNYC Acceptance,0.038461538,16,Percentage of bank & credit union branches that accept IDNYC as primary ID,Mortgage Origination By Race,Asian 11.86%; Black or African American (non-Hispanic or Latino) 0.96%; Hispanic or Latino 1.97%; Other/No Information 26.29%; White (non-Hispanic or Latino) 58.93%,24,Racial/ethnic mix of mortgage loans originated in the past year,Bank / Credit Union Utilization,0.948,10,Percentage of residents with a bank or credit union account,Affordable Products,0.288461538,47,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Mobile Banking Utilization,0.3489,4,Estimated percentage of residents that used mobile banking in past twelve months,,,,
2020,3806,Manhattan,Upper West Side & West Side,MN Community District 7,3806,0.09,65844,0.677,0.06,0.092,0.026,0.144,Financial Shocks,Goal 4: Financial Shocks,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,14.07170543,3,9.81633061,Top,Ability To Borrow At Low Cost,0.77,4,Percentage of residents with a prime or better credit score,Housing Stability,0.498,35,Percentage of rental housing units that are under regulatory protection,Health Insurance Access,0.952,5,Percentage of residents with health insurance,Rent Burden,0.418,5,Percentage of households that pay more than 30% of income on rent,Severe Rent Burden,0.199,5,Percentage of households that pay more than 50% of income on rent,Pre-foreclosure Notices,7.3,2,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Financial Counseling,0.273980963,37,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",,,,
2020,4013,Brooklyn,Bay Ridge & Dyker Heights,BK Community District 10,4013,0.19,30858,0.573,0.015,0.24,0.018,0.154,Overall Index,Overall Neighborhood Financial Health,Overall Neighborhood Financial Health,9.647593212,15,4.235343126,Top,"Goal 1: Access to Affordable, High-Quality Financial Services",,10,,"Goal 2: Access to Affordable, High-Quality Goods & Services",,26,,Goal 3: Access to Quality Jobs & Income Supports,,29,,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,,11,,Goal 5: Opportunities to Build Assets & Plan for the Future,,26,,,,,,,,,,,,,
2020,3806,Manhattan,Upper West Side & West Side,MN Community District 7,3806,0.09,65844,0.677,0.06,0.092,0.026,0.144,Goods & Services,Goal 2: Goods & Services,"Goal 2: Access to Affordable, High-Quality Goods & Services",6.441490993,7,7.592773855,Top,Access To Groceries,221.51,9,Supermarket square footage per 100 residents,Child Care Capacity,0.88984,1,Percentage of 3- and 4-year-olds enrolled in early education programs,Health Care Access,0.1,24,Percentage of adults who did not receive needed medical care in past year,Cost Of Transportation ($),1242.91,52,Average (mean) amount of money spent monthly on transportation per household,Cost Of Transportation (%),0.130560059,29,Percentage of median household income spent on transportation,Journey To Work Time,31.1,5,Average (mean) travel time to work in minutes,,,,,,,,
2020,3806,Manhattan,Upper West Side & West Side,MN Community District 7,3806,0.09,65844,0.677,0.06,0.092,0.026,0.144,Jobs & Income,Goal 3: Jobs & Income,Goal 3: Access to Quality Jobs & Income Supports,10.21972534,7,5.895307704,Top,Job Training And Placement Support,1.131686172,28,"Number of job training and placement programs per 10,000 unemployed residents",Jobs With Health Insurance,0.682947769,6,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Labor Force Participation,0.7,7,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Job Quality,62290.19922,4,Median income of neighborhood residents with 5 or more years housing tenure,Educational Attainment,0.769,24,Percentage of high school students who graduate on time (within 4 years),Public Benefits Utilization,0.817,18,Percentage of people eligible for SNAP receiving the benefit,Tax Credit Utilization,0.711,52,Percentage of eligible Tax Units claiming EITC,Adults With High School Diploma,0.945440169,5,Percentage of adults with a high school degree or equivalent
2020,3806,Manhattan,Upper West Side & West Side,MN Community District 7,3806,0.09,65844,0.677,0.06,0.092,0.026,0.144,Overall Index,Overall Neighborhood Financial Health,Overall Neighborhood Financial Health,41.22745819,7,6.620934928,Top,"Goal 1: Access to Affordable, High-Quality Financial Services",,8,,"Goal 2: Access to Affordable, High-Quality Goods & Services",,7,,Goal 3: Access to Quality Jobs & Income Supports,,7,,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,,3,,Goal 5: Opportunities to Build Assets & Plan for the Future,,12,,,,,,,,,,,,,
2020,3806,Manhattan,Upper West Side & West Side,MN Community District 7,3806,0.09,65844,0.677,0.06,0.092,0.026,0.144,Majority Race/Ethnicity,Majority Race or Ethnicity,Majority Race or Ethnicity,0.677,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3807,Manhattan,"Chelsea, Clinton & Midtown Business District",MN Community Districts 4 & 5,3807,0.108,65905,0.609,0.054,0.162,0.028,0.146,Build Assets,Goal 5: Build Assets,Goal 5: Opportunities to Build Assets & Plan for the Future,14.3211383,1,10,Top,Homeownership Opportunity,0.225,36,Percentage of housing units that are owner-occupied,Neighborhood Tenure,0.521,53,Percentage of residents who have lived in their homes for 10 or more years,Minority And Women-Owned Business Enterprise,301.3883959,1,"Number of NYC certified M/WBEs per 100,000 residents",Retirement Security,4.11:1,6,Median income-to-poverty line ratio of residents age 65 and older,Community Efficacy,300.5177183,1,"Number of community and public institutions per 10,000 residents",Small Business Employment Opportunity,0.121842165,52,Percentage of jobs in small businesses (less than 20 employees),Participatory Budgeting,0.130099276,9,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,,,,
2020,3807,Manhattan,"Chelsea, Clinton & Midtown Business District",MN Community Districts 4 & 5,3807,0.108,65905,0.609,0.054,0.162,0.028,0.146,Financial Services,Goal 1: Financial Services,"Goal 1: Access to Affordable, High-Quality Financial Services",21.09407414,1,10,Top,Bank / Credit Union-To-Nonbank Ratio,5.9:1,12,Ratio of banks & credit unions to check cashers & pawnshops,Bank / Credit Union Density,17.34657656,1,"Number of bank and credit union branches per 10,000 residents",IDNYC Acceptance,0.030888031,20,Percentage of bank & credit union branches that accept IDNYC as primary ID,Mortgage Origination By Race,Asian 16.76%; Black or African American (non-Hispanic or Latino) 1.04%; Hispanic or Latino 2.21%; Other/No Information 30.47%; White (non-Hispanic or Latino) 49.51%,29,Racial/ethnic mix of mortgage loans originated in the past year,Bank / Credit Union Utilization,0.949,9,Percentage of residents with a bank or credit union account,Affordable Products,0.378378378,41,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Mobile Banking Utilization,0.3438,6,Estimated percentage of residents that used mobile banking in past twelve months,,,,
2020,3807,Manhattan,"Chelsea, Clinton & Midtown Business District",MN Community Districts 4 & 5,3807,0.108,65905,0.609,0.054,0.162,0.028,0.146,Financial Shocks,Goal 4: Financial Shocks,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,14.55832813,1,10,Top,Ability To Borrow At Low Cost,0.72,8,Percentage of residents with a prime or better credit score,Housing Stability,0.51,33,Percentage of rental housing units that are under regulatory protection,Health Insurance Access,0.943,6,Percentage of residents with health insurance,Rent Burden,0.431,7,Percentage of households that pay more than 30% of income on rent,Severe Rent Burden,0.209,7,Percentage of households that pay more than 50% of income on rent,Pre-foreclosure Notices,5.84,1,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Financial Counseling,6.445921761,5,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",,,,
2020,3807,Manhattan,"Chelsea, Clinton & Midtown Business District",MN Community Districts 4 & 5,3807,0.108,65905,0.609,0.054,0.162,0.028,0.146,Goods & Services,Goal 2: Goods & Services,"Goal 2: Access to Affordable, High-Quality Goods & Services",11.10185165,2,9.888136849,Top,Access To Groceries,331.82,2,Supermarket square footage per 100 residents,Child Care Capacity,0.72166,14,Percentage of 3- and 4-year-olds enrolled in early education programs,Health Care Access,0.08,12,Percentage of adults who did not receive needed medical care in past year,Cost Of Transportation ($),1162.594167,51,Average (mean) amount of money spent monthly on transportation per household,Cost Of Transportation (%),0.134736247,35,Percentage of median household income spent on transportation,Journey To Work Time,26.1,2,Average (mean) travel time to work in minutes,,,,,,,,
2020,4013,Brooklyn,Bay Ridge & Dyker Heights,BK Community District 10,4013,0.19,30858,0.573,0.015,0.24,0.018,0.154,Majority Race/Ethnicity,Majority Race or Ethnicity,Majority Race or Ethnicity,0.573,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3807,Manhattan,"Chelsea, Clinton & Midtown Business District",MN Community Districts 4 & 5,3807,0.108,65905,0.609,0.054,0.162,0.028,0.146,Jobs & Income,Goal 3: Jobs & Income,Goal 3: Access to Quality Jobs & Income Supports,24.88328051,2,9.240777022,Top,Job Training And Placement Support,38.98550573,2,"Number of job training and placement programs per 10,000 unemployed residents",Jobs With Health Insurance,0.682070236,7,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Labor Force Participation,0.759,2,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Job Quality,58137.51953,5,Median income of neighborhood residents with 5 or more years housing tenure,Educational Attainment,0.712,41,Percentage of high school students who graduate on time (within 4 years),Public Benefits Utilization,0.827,17,Percentage of people eligible for SNAP receiving the benefit,Tax Credit Utilization,0.896,41,Percentage of eligible Tax Units claiming EITC,Adults With High School Diploma,0.946549391,4,Percentage of adults with a high school degree or equivalent
2020,3807,Manhattan,"Chelsea, Clinton & Midtown Business District",MN Community Districts 4 & 5,3807,0.108,65905,0.609,0.054,0.162,0.028,0.146,Overall Index,Overall Neighborhood Financial Health,Overall Neighborhood Financial Health,85.95867273,1,10,Top,"Goal 1: Access to Affordable, High-Quality Financial Services",,1,,"Goal 2: Access to Affordable, High-Quality Goods & Services",,2,,Goal 3: Access to Quality Jobs & Income Supports,,2,,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,,1,,Goal 5: Opportunities to Build Assets & Plan for the Future,,1,,,,,,,,,,,,,
2020,3807,Manhattan,"Chelsea, Clinton & Midtown Business District",MN Community Districts 4 & 5,3807,0.108,65905,0.609,0.054,0.162,0.028,0.146,Majority Race/Ethnicity,Majority Race or Ethnicity,Majority Race or Ethnicity,0.609,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3808,Manhattan,"Murray Hill, Gramercy & Stuyvesant Town",MN Community District 6,3808,0.1,73067,0.694,0.032,0.158,0.029,0.087,Build Assets,Goal 5: Build Assets,Goal 5: Opportunities to Build Assets & Plan for the Future,11.97699326,4,9.236693429,Top,Homeownership Opportunity,0.321,26,Percentage of housing units that are owner-occupied,Neighborhood Tenure,0.567,49,Percentage of residents who have lived in their homes for 10 or more years,Minority And Women-Owned Business Enterprise,196.9335605,3,"Number of NYC certified M/WBEs per 100,000 residents",Retirement Security,5.01:1,1,Median income-to-poverty line ratio of residents age 65 and older,Community Efficacy,251.7206133,2,"Number of community and public institutions per 10,000 residents",Small Business Employment Opportunity,0.128489334,50,Percentage of jobs in small businesses (less than 20 employees),Participatory Budgeting,,43,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,,,,
2020,3808,Manhattan,"Murray Hill, Gramercy & Stuyvesant Town",MN Community District 6,3808,0.1,73067,0.694,0.032,0.158,0.029,0.087,Financial Services,Goal 1: Financial Services,"Goal 1: Access to Affordable, High-Quality Financial Services",8.798954732,5,5.970048643,Top,Bank / Credit Union-To-Nonbank Ratio,12.3:1,6,Ratio of banks & credit unions to check cashers & pawnshops,Bank / Credit Union Density,5.860306644,3,"Number of bank and credit union branches per 10,000 residents",IDNYC Acceptance,0.034883721,18,Percentage of bank & credit union branches that accept IDNYC as primary ID,Mortgage Origination By Race,Asian 19.77%; Black or African American (non-Hispanic or Latino) 0.50%; Hispanic or Latino 2.72%; Other/No Information 23.82%; White (non-Hispanic or Latino) 53.19%,39,Racial/ethnic mix of mortgage loans originated in the past year,Bank / Credit Union Utilization,0.969,2,Percentage of residents with a bank or credit union account,Affordable Products,0.313953488,45,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Mobile Banking Utilization,0.3574,2,Estimated percentage of residents that used mobile banking in past twelve months,,,,
2020,3808,Manhattan,"Murray Hill, Gramercy & Stuyvesant Town",MN Community District 6,3808,0.1,73067,0.694,0.032,0.158,0.029,0.087,Financial Shocks,Goal 4: Financial Shocks,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,14.55052597,2,9.997055176,Top,Ability To Borrow At Low Cost,0.79,2,Percentage of residents with a prime or better credit score,Housing Stability,0.454,41,Percentage of rental housing units that are under regulatory protection,Health Insurance Access,0.957,3,Percentage of residents with health insurance,Rent Burden,0.43,6,Percentage of households that pay more than 30% of income on rent,Severe Rent Burden,0.204,6,Percentage of households that pay more than 50% of income on rent,Pre-foreclosure Notices,13.2,5,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Financial Counseling,3.311838692,13,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",,,,
2020,3808,Manhattan,"Murray Hill, Gramercy & Stuyvesant Town",MN Community District 6,3808,0.1,73067,0.694,0.032,0.158,0.029,0.087,Goods & Services,Goal 2: Goods & Services,"Goal 2: Access to Affordable, High-Quality Goods & Services",6.105064034,9,7.427073806,Top,Access To Groceries,186.37,24,Supermarket square footage per 100 residents,Child Care Capacity,0.85752,3,Percentage of 3- and 4-year-olds enrolled in early education programs,Health Care Access,0.08,12,Percentage of adults who did not receive needed medical care in past year,Cost Of Transportation ($),1253.905833,53,Average (mean) amount of money spent monthly on transportation per household,Cost Of Transportation (%),0.131177706,31,Percentage of median household income spent on transportation,Journey To Work Time,26.5,3,Average (mean) travel time to work in minutes,,,,,,,,
2020,3808,Manhattan,"Murray Hill, Gramercy & Stuyvesant Town",MN Community District 6,3808,0.1,73067,0.694,0.032,0.158,0.029,0.087,Jobs & Income,Goal 3: Jobs & Income,Goal 3: Access to Quality Jobs & Income Supports,22.89771809,3,8.787773771,Top,Job Training And Placement Support,35.09655843,3,"Number of job training and placement programs per 10,000 unemployed residents",Jobs With Health Insurance,0.715449295,4,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Labor Force Participation,0.734,4,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Job Quality,79202.25,1,Median income of neighborhood residents with 5 or more years housing tenure,Educational Attainment,0.751,32,Percentage of high school students who graduate on time (within 4 years),Public Benefits Utilization,0.448,51,Percentage of people eligible for SNAP receiving the benefit,Tax Credit Utilization,0.674,53,Percentage of eligible Tax Units claiming EITC,Adults With High School Diploma,0.960778258,2,Percentage of adults with a high school degree or equivalent
2020,3809,Manhattan,Chinatown & Lower East Side,MN Community District 3,3809,0.18,25667,0.331,0.079,0.311,0.031,0.249,Build Assets,Goal 5: Build Assets,Goal 5: Opportunities to Build Assets & Plan for the Future,-16.389262,55,0,Bottom,Homeownership Opportunity,0.119,48,Percentage of housing units that are owner-occupied,Neighborhood Tenure,0.349,55,Percentage of residents who have lived in their homes for 10 or more years,Minority And Women-Owned Business Enterprise,59.73529796,13,"Number of NYC certified M/WBEs per 100,000 residents",Retirement Security,1.4:1,51,Median income-to-poverty line ratio of residents age 65 and older,Community Efficacy,69.13116254,9,"Number of community and public institutions per 10,000 residents",Small Business Employment Opportunity,0.349779589,8,Percentage of jobs in small businesses (less than 20 employees),Participatory Budgeting,,43,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,,,,
2020,3809,Manhattan,Chinatown & Lower East Side,MN Community District 3,3809,0.18,25667,0.331,0.079,0.311,0.031,0.249,Financial Services,Goal 1: Financial Services,"Goal 1: Access to Affordable, High-Quality Financial Services",4.25582097,11,4.480953055,Top,Bank / Credit Union-To-Nonbank Ratio,4.8:1,16,Ratio of banks & credit unions to check cashers & pawnshops,Bank / Credit Union Density,2.986764898,12,"Number of bank and credit union branches per 10,000 residents",IDNYC Acceptance,0.104166667,6,Percentage of bank & credit union branches that accept IDNYC as primary ID,Mortgage Origination By Race,Asian 16.73%; Black or African American (non-Hispanic or Latino) 0.19%; Hispanic or Latino 3.27%; Other/No Information 34.23%; White (non-Hispanic or Latino) 45.58%,31,Racial/ethnic mix of mortgage loans originated in the past year,Bank / Credit Union Utilization,0.899,27,Percentage of residents with a bank or credit union account,Affordable Products,0.541666667,21,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Mobile Banking Utilization,0.2433,12,Estimated percentage of residents that used mobile banking in past twelve months,,,,
2020,3809,Manhattan,Chinatown & Lower East Side,MN Community District 3,3809,0.18,25667,0.331,0.079,0.311,0.031,0.249,Financial Shocks,Goal 4: Financial Shocks,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,10.443934,8,8.447075588,Top,Ability To Borrow At Low Cost,0.68,15,Percentage of residents with a prime or better credit score,Housing Stability,0.63,17,Percentage of rental housing units that are under regulatory protection,Health Insurance Access,0.918,14,Percentage of residents with health insurance,Rent Burden,0.499,13,Percentage of households that pay more than 30% of income on rent,Severe Rent Burden,0.234,8,Percentage of households that pay more than 50% of income on rent,Pre-foreclosure Notices,19.5,8,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Financial Counseling,4.822594214,11,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",,,,
2020,3809,Manhattan,Chinatown & Lower East Side,MN Community District 3,3809,0.18,25667,0.331,0.079,0.311,0.031,0.249,Goods & Services,Goal 2: Goods & Services,"Goal 2: Access to Affordable, High-Quality Goods & Services",9.729655272,4,9.212290273,Top,Access To Groceries,292.28,3,Supermarket square footage per 100 residents,Child Care Capacity,0.79281,6,Percentage of 3- and 4-year-olds enrolled in early education programs,Health Care Access,0.08,12,Percentage of adults who did not receive needed medical care in past year,Cost Of Transportation ($),650.7491667,36,Average (mean) amount of money spent monthly on transportation per household,Cost Of Transportation (%),0.158297825,53,Percentage of median household income spent on transportation,Journey To Work Time,31.8,6,Average (mean) travel time to work in minutes,,,,,,,,
2020,3809,Manhattan,Chinatown & Lower East Side,MN Community District 3,3809,0.18,25667,0.331,0.079,0.311,0.031,0.249,Jobs & Income,Goal 3: Jobs & Income,Goal 3: Access to Quality Jobs & Income Supports,-5.84325358,43,2.230561839,Bottom,Job Training And Placement Support,4.558204257,12,"Number of job training and placement programs per 10,000 unemployed residents",Jobs With Health Insurance,0.410775375,36,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Labor Force Participation,0.592,41,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Job Quality,29568.83984,40,Median income of neighborhood residents with 5 or more years housing tenure,Educational Attainment,0.681,47,Percentage of high school students who graduate on time (within 4 years),Public Benefits Utilization,0.806,20,Percentage of people eligible for SNAP receiving the benefit,Tax Credit Utilization,0.895,42,Percentage of eligible Tax Units claiming EITC,Adults With High School Diploma,0.782731011,36,Percentage of adults with a high school degree or equivalent
2020,3809,Manhattan,Chinatown & Lower East Side,MN Community District 3,3809,0.18,25667,0.331,0.079,0.311,0.031,0.249,Overall Index,Overall Neighborhood Financial Health,Overall Neighborhood Financial Health,2.196894663,24,3.672505844,Middle,"Goal 1: Access to Affordable, High-Quality Financial Services",,11,,"Goal 2: Access to Affordable, High-Quality Goods & Services",,4,,Goal 3: Access to Quality Jobs & Income Supports,,43,,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,,8,,Goal 5: Opportunities to Build Assets & Plan for the Future,,55,,,,,,,,,,,,,
2020,3809,Manhattan,Chinatown & Lower East Side,MN Community District 3,3809,0.18,25667,0.331,0.079,0.311,0.031,0.249,Majority Race/Ethnicity,Majority Race or Ethnicity,Majority Race or Ethnicity,,No Majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3810,Manhattan,"Battery Park City, Greenwich Village & Soho",MN Community Districts 1 & 2,3810,0.088,79181,0.716,0.022,0.159,0.032,0.07,Build Assets,Goal 5: Build Assets,Goal 5: Opportunities to Build Assets & Plan for the Future,0.889979522,25,5.626511329,Middle,Homeownership Opportunity,0.293,29,Percentage of housing units that are owner-occupied,Neighborhood Tenure,0.502,54,Percentage of residents who have lived in their homes for 10 or more years,Minority And Women-Owned Business Enterprise,223.1683474,2,"Number of NYC certified M/WBEs per 100,000 residents",Retirement Security,1.33:1,53,Median income-to-poverty line ratio of residents age 65 and older,Community Efficacy,180.2711463,3,"Number of community and public institutions per 10,000 residents",Small Business Employment Opportunity,0.136592145,49,Percentage of jobs in small businesses (less than 20 employees),Participatory Budgeting,0.053514602,33,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,,,,
2020,4101,Queens,Astoria & Long Island City,QN Community District 1,4101,0.183,31658,0.478,0.063,0.159,0.029,0.272,Overall Index,Overall Neighborhood Financial Health,Overall Neighborhood Financial Health,19.50975295,12,4.980345913,Top,"Goal 1: Access to Affordable, High-Quality Financial Services",,14,,"Goal 2: Access to Affordable, High-Quality Goods & Services",,8,,Goal 3: Access to Quality Jobs & Income Supports,,10,,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,,12,,Goal 5: Opportunities to Build Assets & Plan for the Future,,33,,,,,,,,,,,,,
2020,3810,Manhattan,"Battery Park City, Greenwich Village & Soho",MN Community Districts 1 & 2,3810,0.088,79181,0.716,0.022,0.159,0.032,0.07,Financial Services,Goal 1: Financial Services,"Goal 1: Access to Affordable, High-Quality Financial Services",14.73058044,3,7.914247985,Top,Bank / Credit Union-To-Nonbank Ratio,20.7:1,3,Ratio of banks & credit unions to check cashers & pawnshops,Bank / Credit Union Density,7.974891953,2,"Number of bank and credit union branches per 10,000 residents",IDNYC Acceptance,0.056451613,14,Percentage of bank & credit union branches that accept IDNYC as primary ID,Mortgage Origination By Race,Asian 13.95%; Black or African American (non-Hispanic or Latino) 0.84%; Hispanic or Latino 1.95%; Other/No Information 31.75%; White (non-Hispanic or Latino) 51.50%,47,Racial/ethnic mix of mortgage loans originated in the past year,Bank / Credit Union Utilization,0.967,3,Percentage of residents with a bank or credit union account,Affordable Products,0.346774194,43,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Mobile Banking Utilization,0.3613,1,Estimated percentage of residents that used mobile banking in past twelve months,,,,
2020,3810,Manhattan,"Battery Park City, Greenwich Village & Soho",MN Community Districts 1 & 2,3810,0.088,79181,0.716,0.022,0.159,0.032,0.07,Financial Shocks,Goal 4: Financial Shocks,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,13.82328183,5,9.72256636,Top,Ability To Borrow At Low Cost,0.74,6,Percentage of residents with a prime or better credit score,Housing Stability,0.392,47,Percentage of rental housing units that are under regulatory protection,Health Insurance Access,0.957,3,Percentage of residents with health insurance,Rent Burden,0.394,2,Percentage of households that pay more than 30% of income on rent,Severe Rent Burden,0.194,2,Percentage of households that pay more than 50% of income on rent,Pre-foreclosure Notices,9.57,4,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Financial Counseling,2.733415109,16,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",,,,
2020,3810,Manhattan,"Battery Park City, Greenwich Village & Soho",MN Community Districts 1 & 2,3810,0.088,79181,0.716,0.022,0.159,0.032,0.07,Goods & Services,Goal 2: Goods & Services,"Goal 2: Access to Affordable, High-Quality Goods & Services",11.32897156,1,10,Top,Access To Groceries,292.24,4,Supermarket square footage per 100 residents,Child Care Capacity,0.81272,5,Percentage of 3- and 4-year-olds enrolled in early education programs,Health Care Access,0.07,6,Percentage of adults who did not receive needed medical care in past year,Cost Of Transportation ($),1366.0575,55,Average (mean) amount of money spent monthly on transportation per household,Cost Of Transportation (%),0.1280829,23,Percentage of median household income spent on transportation,Journey To Work Time,24.9,1,Average (mean) travel time to work in minutes,,,,,,,,
2020,3810,Manhattan,"Battery Park City, Greenwich Village & Soho",MN Community Districts 1 & 2,3810,0.088,79181,0.716,0.022,0.159,0.032,0.07,Jobs & Income,Goal 3: Jobs & Income,Goal 3: Access to Quality Jobs & Income Supports,28.21103723,1,10,Top,Job Training And Placement Support,44.90733544,1,"Number of job training and placement programs per 10,000 unemployed residents",Jobs With Health Insurance,0.721667862,3,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Labor Force Participation,0.748,3,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Job Quality,68641.95313,3,Median income of neighborhood residents with 5 or more years housing tenure,Educational Attainment,0.76,27,Percentage of high school students who graduate on time (within 4 years),Public Benefits Utilization,0.518,48,Percentage of people eligible for SNAP receiving the benefit,Tax Credit Utilization,0.862,49,Percentage of eligible Tax Units claiming EITC,Adults With High School Diploma,0.960543338,3,Percentage of adults with a high school degree or equivalent
2020,3810,Manhattan,"Battery Park City, Greenwich Village & Soho",MN Community Districts 1 & 2,3810,0.088,79181,0.716,0.022,0.159,0.032,0.07,Overall Index,Overall Neighborhood Financial Health,Overall Neighborhood Financial Health,68.98385058,2,8.717695703,Top,"Goal 1: Access to Affordable, High-Quality Financial Services",,3,,"Goal 2: Access to Affordable, High-Quality Goods & Services",,1,,Goal 3: Access to Quality Jobs & Income Supports,,1,,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,,5,,Goal 5: Opportunities to Build Assets & Plan for the Future,,25,,,,,,,,,,,,,
2020,3810,Manhattan,"Battery Park City, Greenwich Village & Soho",MN Community Districts 1 & 2,3810,0.088,79181,0.716,0.022,0.159,0.032,0.07,Majority Race/Ethnicity,Majority Race or Ethnicity,Majority Race or Ethnicity,0.716,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3901,Staten Island,"Tottenville, Great Kills & Annadale",SI Community District 3,3901,0.114,40637,0.836,0.009,0.047,0.011,0.097,Build Assets,Goal 5: Build Assets,Goal 5: Opportunities to Build Assets & Plan for the Future,13.36210952,3,9.687718566,Top,Homeownership Opportunity,0.811,1,Percentage of housing units that are owner-occupied,Neighborhood Tenure,0.784,1,Percentage of residents who have lived in their homes for 10 or more years,Minority And Women-Owned Business Enterprise,27.16866306,40,"Number of NYC certified M/WBEs per 100,000 residents",Retirement Security,3.47:1,14,Median income-to-poverty line ratio of residents age 65 and older,Community Efficacy,15.57670015,46,"Number of community and public institutions per 10,000 residents",Small Business Employment Opportunity,0.410395096,2,Percentage of jobs in small businesses (less than 20 employees),Participatory Budgeting,,43,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,,,,
